Tweet,Topic
مشترك باقه نت ومشغل عرض الصيف كمان حولت رصيد لقيت النت بيسحب الرصيد نفسو اراجع استهلاكي بيديني خطا وعلي النت كمان,Credit
وسيله اقدر بيها فاضلي جنيه الاضافي خدتهم الشحن ؟,Credit
شحنت كارت وعاوز اشحن شحنه اعلان محمد رمضان ياريت شرح,Credit
بقالي كذا بشحن وكل ماجي افتح باقه الاقي الرصيد بيتسحب اني مش مشتركه خدمات تانيه,Credit
"السلام عليكم هل يوجد تطبيقات لاتصالات نظام الاندرويد ( تطبيق my , وفلوس ) وكم رسوم تحويل اموال رقم لرقم ثاني ( مشتركين خدمه فلوس ) شكرا مقدما",Credit
كدا شحنت بعشرين جنيه وفاضل جنيه واتسحبو وسحبت جنيه وسحبتوهم بردو وسحبت تاني جنيه وبردو سحبتوهم مني رد العلم اني متكلمتش جنيه مكلمه وحده,Credit
ياباشا حولت رصيد قالي رصيدك خلص رصيدي,Credit
حضرتك مل بيتخصم مني فلوس معرفش نظام ! !,Credit
انتوا بتسحبوا الرصيد بدون مكالمه اشترك خدمه Etisalat Misr,Credit
لما باجي احول رصيد برنامج ماي اتيصالات بيقولي ارجوك قم بالاتصال بالموبايل انتر نت اسم ادخل طريق الدخول السريع,Credit
كنت عامل باقه ولما كنت بفتح البيانات بيخصم قرش للميجا السبب معاي رصيد ودلوقتي خلص والباقه مخلصت,Credit
سمحتو عندر رقم شحنت جنيه ودلوقتي بيقولي رصيدك جنيه,Credit
سمحيت احول بيها الرصيد تلفون تاني لتلفون,Credit
شكرا لحضرتكو شكرا لحضرتكو خدمه اختبارات الصحه اتلغت يريت تشفولي حكايه الرصيد,Credit
السلام عليكم عامل باقه جنيه جبت كارت شحن وشحنته الباقه اتجددت ومالقتش رصيد خالص جبت كارت تاني جنيه برده الرصيد طار برجاء ؟,Credit
بتصل * #لتحويل الرصيد يقولي الخدمه متاحه لنظام خطكوكمان باقه السوشيال اليوميه بتجدد لوحدها,Credit
لما بحول رصيد لرقم تاني بيقولي عفوا مشترك عرض العشر سنين الهبل احول ❕,Credit
سمحتو شويه يجيلي منشت صغير كده يقولي تكلفه المكلمه قرش رصيدك المتبقي كذا قرش ومبعرفش بيخدو الفلوس وكل تحصل الحكايه معدل مرتين وللا اتصلت بخدمه العملاء قالولي مشترك كذا خدمه قولتله احذفهملي قالي حذفتهم ولسه بردو الفلوس بتتاخد مني زهقت خالص المساعده يااما ارمي الخط دا احسنلي واشتري خط جديد,Credit
الخير حضرتك الرصيد عمال يتاخد مني الشركه بتبعت رساله وتقولي خدوا تالت اشحن وياخده دقيقه واحده ياريت حضرتك تقولي السبب وتشوفلي حل,Credit
"اذنك جنابك لما اجي احول كريدت يقولي sorry , youve exceeded the maximum balance of transfer for today بقي",Credit
معايا جنيه واشتركت باقه كونكت بعشره جنيه وخدوا كلهم معرفش,Credit
اناكل شحن لازم ملقيش باقي الرصيدمع العلم اني معملتش ولامكلمه شكرا,Credit
سمحتوا لما باجي اتكلم وبخلص المكالمه بيكتبولي ليك دقائق لبكرا الرصيد هوا يظهر ولما باجي استخدم خدمه سلفني بيكتبولي عفوا الاشتراك الحالي,Credit
اهرف الكود بحول بيه الرصيد,Credit
سمحتو هل عرض اختار شحنتك المكسات بيخصم الرصيد تعتبر هديه الشحن,Credit
كيف الرصيد خط داتا,Credit
عامله باقه بيخدوا الرصيد العادي وازي امنعه,Credit
كنت استعلم الرصيد,Credit
شحنت ج وعملت باقه بال ج وتم التجديد واحولت ج وجاني اني رصيد وNUM قرش وبعد اشويه جاتني رساله رصيدي اقل ونص اقدر استلف راحت فين الخمسه حولتها,Credit
كيف رقم شريحه حاله ابعت رصيد كود علشان رقم الشريحه,Credit
مستلف جنيه واستخدامت جنيه شحنت هيخسم,Credit
دلوتي بدخل كروت فكه بتتسحب اتكلم حرم كده ومينفعش اكده,Credit
ينفع اقسط وادفع الفرع يخصم البطاقه الائتمانيه الخاصه بي التابعه للبنك المصري وهيكون فوائد,Credit
ازي الباقي رصيدي خط USB انترنت,Credit
السلام عليكم حضرتك برا مصر البيت عاملين باقه وعايزين يعرفو ميعاد التجديد والباقه انتهت ام لاء وشكرا,Credit
لما اشحن رصيد بيخلص مبيكملش المشكله اني مبستخدمهوش,Credit
عملت خدمه اضعاف شحنتك واتعملت ودلوقتي شحنت بعشره مجاش دقايق وشحنت ناو مجليش دقائق برده العلم اني كنت مسالفه ج اتصل قالي لقد نفذ رصيدك ودايما بيسحبو الرصيد اسميه بقا,Credit
سمحتو جاتلي رساله اني كسبت ج رصيد لما اشحن ج اشهر واشتركت وفعلا جتلي رساله اني اشتراكي وشحنت مجتش ج هتيجي وهستخدمها رصيد عادي دقايق,Credit
تحميل خلالي اشتريت عالنت خالص اشحن كارت ويخلصوا افهم الفلوس بتروح فين مبتصلش بيها خدمه الكول كيبر بتبعتلي اني مشترك عمرك اشتركت خدمات,Credit
كنت شاحن لقيت رصيدي معرفش,Credit
احول رصيد تليفون لتليفون ؟,Credit
احول فلوس ؟ !,Credit
كنت اشوف مستلف وباقيلي اسدده,Credit
شحن كارت بعشره جنيه اتكلمت منه اربع دقايق والصيد خلص افاده,Credit
الخط بتاعي لسا شاحن وبتصل يقولي مبالغ مستحقه الخط جنيه السبب ! ! ؟,Credit
اذنكو الكود بيجيب رساله الرصيد المكالمه وسعر تكلفتها شكرا,Credit
الشركه سرقت مني رصيد كذا وكلمت خدمه العملاء كتير ومحدش اهتم رصيد تافه يتاخد مني بدون حق الصحافه وممكن اخرب الدنيا بمنشور همشي معاكم قانوني,Credit
احول رصيد خط خط اخر الكود,Credit
شحنت والشركه جددت باقه السويشال معايا رصيد زياده وبعدين اتفاجت رصيدي كله خلص لما بفتح النت,Credit
لوسمحتوا بعت رساله ل عرض ضعف الرصيد وقلولي مشترك اتكلمت الرصيد,Credit
شحنت كارت ومش كنت مستلف اتخصم كله وشحنت تاني ونفس الحكايه بقا ؟ ؟,Credit
اشترك خاصيه رصيد الفيزا رصيدي ينزل المكانه تجي رساله اشتراك,Credit
يافندم خارج مصر وعاوز مكالمه الخط ميتوقفش ومش معايا رصيد للاسف ؟ ! ! اشحن الرقم ؟,Credit
رصيدي وتكون مجانا وخدمت الكول الكبير غليت,Credit
جبت كارتين ومفيش راضي يشحن الصبح كنت محتاج مكالمات ضروري ومفيش رصيدعايز حل المشكله ومتبعتوليش اللينك الخربان بتاعكمربنا يسهل عليكم,Credit
الغي اضعاف رصيد بيخادو العشره جنيه لما بشحن ؟ ؟,Credit
معايا رصيد قرش وشحنت لقيتهم قرش فوق الكارت شحنته العلم معملتش بيهم,Credit
موبايل اخويا ‏ peria z ‏ وكل لما يشحن رصيده يخلص لوحده ومش مشترك خدمه,Credit
كنت لما بشحن بيبعتولي جنيه رصيد ناو لما بشحن ميش بيبعتولي جنيه بقي ؟ ؟,Credit
لوسمحتم خط كنترول جنيه اعر الرصيد وباقي الشحن,Credit
المكالمه لاتصالات بقت بجنيه يخصم دقيقتين وباقي المكالمه ببلاش فضلك كده هيخصم جنيه ولاهيخصم الرصيد والمكالمه دقيقهوشكرا لحضرتك,Credit
شاحن امبارح جنيه عامل نظامي بالثانيهوكنت اتكلمت قرش النوتهواتكلمت دقيقتين لاتصالات فقطودلوقتي معايا فين الرصيد بقا,Credit
احول رصيد لاتصالات,Credit
رصيدي راح فين بحط الكارت هنا مبلاقيش منه بقا !,Credit
اذنكوا مقدار الفلوس استلفتها خدمه سلفني,Credit
جايب خط السنوي وعايز الارقام تعرفني فاضل رصيد وهل الرصيد بينضم بعده وشكرا,Credit
جبت كارت ج وملقتش معايا ج ومكنش استلاف وهقدر ارجعهم ؟,Credit
حضرتك بيتخصم مني رصيد الغي عرض السحب فلوس والكلام تفدني,Credit
اشتركت باقه اضافيه اكسترا ومش شغاله وبتاخد الرصيد فممكن تفسير,Credit
امبارح شحنت جنيه والنهارده لقيت الرصيد جنيه بقي ! ! والحكايه بتحصل كتير الفتره,Credit
امل بلاقي الرصيد ضاع والله بيكتبلي جنيه + قرش,Credit
انتو شركه حراميه شحنت انهارده قالي اني مستلفه والمفروض اسدد ج كمان والله استلفت وكمان والاستلاف الحد الاقصي ج استلاف,Credit
كو د تحويل الرصيد ضرو ري,Credit
احول ازي رصيد تليفوني لتليفون تاني,Credit
عامله نظام حكايه ل والمفروض دقايق الشبكه الاخري بتخلص بسحب دقايق وبتحاسب اضعاف والباقه دلوقت دقيقه واجي اكلم شبكه تانيه يقولي رصيدك خلص,Credit
مشتركتش فعروض youm yallakora وانتو عمالين تسحبو رصيد رصيدي يرجعلي ؟,Credit
محدش رد استفساري سالتكم كده سمحتوا طلبت # * واشتركت عرض بجنيه والشركه اتاخرت عليا فطلبت # * تاني واشتركت العرض دقيقه بجنيه فالشركه قامت ردت وبعتتلي رسالتين ثواني وخصمت رصيدي ثمن الاشتراك العرض مرتين بدل العلم اني مينفعش اشترك العرض واحده مينفعش اشترك عرض مرتين فعلي اساس الشركه خصمت مني تمن العرض مرتين,Credit
نظام خط الصعيد اجي احول رصيد الخط خط اخر الخدمه متوفره لنظامك,Credit
كنت عامله خطي باقه حكايه ج والمفروض ضعف الرصيد قالو لما يخلص الاساسي هل رقم للحصول الرصيد الاضافي,Credit
مستلف رصيد مخلصتش قيمه الاستلاف وشحنت كارت هل هيخصم المبلغ استلفته كله,Credit
اسال عامله الخط جنيه ولما بشحن الرصيد بيظهر وبعد فتره فيش بتيجي,Credit
الرصيد بيخلص خدمات معرفهاش,Credit
احول رصيد لخط تاني بيقولي حولت كتير احاول تاني محولتش اصلا,Credit
استعلم رصيدي اد اتصل ؟,Credit
i can not find link to recharge with credit card Etisalat Misr ( community ),Credit
نظام فريهات واستخدمت رصيدي جنيه ولسه مبعتش رساله الهديه,Credit
معيش رصيد خالص كرتين كرت وكرت هيبقو يكفو يعملو الباقه زياده,Credit
هياخد مني فلوس الرصيد خاطر اصاله هولع الشركه وهولع فيك يادمن وهولع اصاله نفسها وهولع نفسي اخترت ✋,Credit
كود الغي بيه شئ مشترك الرصيد بيخلص دا لرقم تاني,Credit
سمحتو جالي تحو يل رصيد بالغلط وعايزه احوله تاني بدخل الايقونه بتاعت قائمه الموبايل وبعمل خطوات التحويل وكل يجيلي رساله غلط,Credit
رقم تحويل الرصيد,Credit
الرصيد,Credit
اشتريت خط جنيه رصيد شهر اشحن بعشره جنيه يديني ميه شهر جت الهديه كده مجتش,Credit
شحنت الباقه وباجي اخش google search بيقولي الرصيد كافي,Credit
الغي رساله الرصيد الدقايق الباقيه المكالمه بتسحب الرصيد,Credit
كود تحويل الرصيد,Credit
ياجماعه محدش يعرف الغي اشتراكي خاصيه النصائح بتخصم الرصيد ؟ ! الرساله,Credit
سمحتوا الغي اشتراكي مسابقات واخدين رصيدي والكارت مبيقعدش معايا نص ساعه وطلبت ‎ * ‎ # ‎ طلعلي رصيدي كله ضايع المسابقات الغي اشتراكي مسابقه,Credit
اذن حضرتك احول رصيد فوني ل فون تاني الكود اذن حضرتك حضرتك قولتلي لعملاء الكارت الخط هحول منه واليه كارت اضغط # * عملت م حضرتك قولت كده ومش يحول failed failed failed failed failed اذن حضرتك,Credit
الغي خدمه رنلي النوته لوخلص رصيدي يقولي عفوا ميقوليش خدمه رنلي النوته,Credit
بحاول احول رصيد وبيقولي ناسف لعدم تنفيذ طلبكم الخدمه متاحه لك ؟ ؟,Credit
موضوع كارت الشحن هيجيب رصيد جنيه دا صح ؟ ؟,Credit
رصيدي بيتسحب استهلكه كدا ومش مشتركه بتكلم منه,Credit
اقل تحويل رصيد,Credit
هوا متكلمش النوته ويتخصم مني رصيد اخر قرش والمره قبليها قرش كدا بقي حرام,Credit
امبارح حولت النظام بتاعي واتخصم رصيدي رسوم التحويل ولسه نظامي القديم,Credit
لما اكون مشترك واشحن خطي اتكلم بيتسرق الرصيد ؟,Credit
احول رصيد خطي الكود المفروض ينكتب الرقم بسرعه فضلك,Credit
الرقم رقم المسج ابعت اني مدخلش فيس واتس وماخصموش الرصيد,Credit
ممکن اللنك عایز معلومات الخط بتاعی زی الرصید المیجات والباقه کده ممکن اللنک,Credit
اشحن رصيد لرقم تاني,Credit
اشحن رصيد بقول اضافه رصيد مجاني كيف يتم استخدام رصيد مجاني,Credit
احول رصيد,Credit
اجي احول رصيد لخطي التاني ميرضاش العلم باني مشترك عروض وبتظهري رساله الخطا plaes use a correct message format to this service فيدوني لاني محتاج احول بسرعه,Credit
خطي كنترول وشحنت امبارح والرصيد وصل الباقه متجددتش الرصيد افهم بقي ؟ ؟,Credit
استلفت جنيه وعاوزه ارن دولي مبيرنش بيقولي الرصيد خلص,Credit
شحنت ومعاي رصيد جنيه ومش عارف باقه جنيه نت,Credit
فضلكم شحنت شهر بعشره جنيه ونفذ الرصيد الرغم انني اتصل باي رقم وذهبت للاتصالات لي لغيت لك شيء كنت مشترك كده فقلت حشن بخمس جنيهات وتم بالفعل وقلت نفذ الرصيد اتصل بهم لوسمحتم العمل شكرا لتعاونكم,Credit
احول رصيد احول الخط نظامه كروت عادي مش فاتوره,Credit
كنت اشحن الرصيد بيتسحب,Credit
عوزه رقم تحويل رصيد موبيل موبيل اخر,Credit
معايا خط ووقع مني للاسف فتره جامده م يطلع موضوع الخط لازم يتسجل ومش معايا العلبه بتاعته ارجعه محتاجه ضروري ؟,Customer Service
اذنكم هل هتبقي فروع خدمه العملا شغاله العيد شغاله هتبقي لكام ؟,Customer Service
السلام عليكم هل استبدل فلاشه النت السنويه بفلاشه نت واي فاي الجديده,Customer Service
خطوط مسجل عندكم باسمي معرفش عنها وعايز اسقطها الاجهزه عندكم ومفيش فرع قريب مني فرع سفر ساعات الحل والرد,Customer Service
pin,Customer Service
رساله بتظهر اتصل بحد ( تحويلات المكلمات الوارده نشطه ) معني الرساله خالص احترامي MNG,Customer Service
فرع التجمع الخامس والعنوان بتفصيل,Customer Service
مشكله الخط رقم,Customer Service
بضغط * # no reply from ESME يبقا المشكله فين ؟ ؟ ! !,Customer Service
انفصلت الخدمه عني وعشان ارجعها لازم اروح لاقرب فرع بعيد جدا جدا فرع اتصلت بخدمه العملاء وادوني رقم الهاتف الجوال للشؤون القانونيه وقالولي مشكلتك معاهم وافقوا هنرجعلك الخدمه,Customer Service
الشريحه بتاعتي م قصيتها الارقام اختفت اوصل للارقام تاني ؟ ؟,Customer Service
رقم خدمه العملاء,Customer Service
بالنسبه للاعلان الشغال داخل الفروع خارجها ؟,Customer Service
سنترال المطيعه مركز اسيوط محافظه اسيوط بيدعم التوصيل بتاعكم adsl,Customer Service
رقم خدمه العملاء الانترنت,Customer Service
شكوي لفرع السودان سمحتوايرجي,Customer Service
كارفور مدينه نصر بيستبدل,Customer Service
رقم خدمه العملاء ؟ ؟,Customer Service
بخصوص عرض التقسيط بدون فوايد انواع الموبايلات المتاحه وعناوين الفروع القريبه مصر الجديده,Customer Service
سمحتوا حبيت اجيب كشف فاتوره بمكالماتي اجبها الفرع ؟ ؟ ولو كده بتكون حسب اطلبها بمعني اني اختار كشف المكالمات ﻻنهي شهر ؟ ؟ وهل حد يجبهالي ولو حبيت اخلي حد غيري يجبهالي هيحتاج ياخد بطاقتي وﻻ ؟ ؟,Customer Service
حضرتك بالنسبه للناس محافظات بعيده دمياط والسفر تكلفه ومشقه ليهم مقر تاني ؟,Customer Service
يمن دسوق وعندي خط الرضي اوصل نت هل دسوق نت,Customer Service
مسافر وعاوز اوقف الخط شهور الاجراءات,Customer Service
نفسي اشتري خط وكل منافذ البيع الخاصه بقت صيانه وبيع فقط للعلم بكلم قلب الغردقه شارع شيري,Customer Service
رقم خدمه العملاء الدولي ؟ !,Customer Service
اه واجه اشترك تبقي الشبكه مشغوله واتصل بخدمه العملاء مشغوله لحد الرصيد مخلص ويسمعوني موسيقي واغاني,Customer Service
كنت فرع ليا,Customer Service
اتصل خدمه العملاء يقولولي انتظر العملاء مشغولون بالرد عملاء اخرين,Customer Service
كنت اشتري خط الفرعسعره كاموعايز الخطوط الجديده عروض نت ؟ ؟,Customer Service
لما بعمل مكالمه بيقولي ايقاف الخط بناء طلبك ويجب الرجوع للمفوض مطلبتش الحل,Customer Service
mail مبعوت للموظفين غن التدريب الصيفي ضروره املاء اون لاين اقدر اون لاين لاني دخلت عادلي الشركه وملقتش,Customer Service
ينفع حد عنده يجيب خط الشركه لازم اكبر كدا,Customer Service
يا جماعه تليفوني اتسرق وعايزه ارجع الخط اه,Customer Service
سمحتو كنت رقم خدمه العملاء,Customer Service
مواعيدكوا رمضان,Customer Service
خدمه اكلم خدمه العملاء طريق الشات,Customer Service
سعر فلاشه النت وبتتجاب منين وي سعر الاشتراق الشهري ولو بشتريها فرع فرعكوا فين الفرع لي فيل مقطم,Customer Service
التغطيه النت عندنا منطقه كفر الشيخ ودسوق بالتحديد ضعيفه شويه اذنكم تشوفوا المشكله وترجع الشبكه حلوه,Customer Service
"I had a big problem with your customer service they are incompetent and rude Today i charged a prepaid card for a friend abroad with EGP , they deducted without any reason and when i called to ask they said its a confidential reason ! I need a reSponse before going to consumer protection !",Customer Service
مركز كايرو فاستيفال فاتح,Customer Service
التحويل الشرطي والديها,Customer Service
سمحتوا خطي اسابيع ومش عارف فيريت تشغلوه اروح فرع,Customer Service
بتبقي مواعيده وازاي نشترك وايه شروطه ؟,Customer Service
السلام عليكم ورحمه الله وبركاته الساده الافاضل خدمه عملاء اشتريت خطين بقسيمه ( فاتوره ) ولظروف خاصه لقيت اتباع والاخر لااعلم عنه هل مساله قانونيه شكرا,Customer Service
منفذ بيع اجيد القراه الكتابه واجيد التعامل الحاسب الالي وخدمه العملاء وشكرا,Customer Service
سمحتو جت لي رساله تطلب مني تجديد البيانات واتصلت واعطيتهم الرقم القومي وبعدين قالو لي لازم تروح الفرع,Customer Service
السلام عليكم حضرتك فرع محافظه المنيا مركز مغاغه,Customer Service
اتصلت بخدمه العملاء وكل يقولو هنتصل بيك حد بيسال مشكله حصلت معايا فات حد اهتم,Customer Service
الهاتف الخاص بي يطلب بطاقه uim يتم تشغيل g هل لديكم النوع البطاقات ؟,Customer Service
دلوقت عملت رقم pin ونسيت الرقم وقعت اجرب لغايه لما ظهرلي رفض البطاقه,Customer Service
مش عارفه اقدم النت ينفع اقدم cv بتاعي لاي فرع قريب مني ؟ ؟ مش هينفع ؟ ؟ يوصلكوا cv ؟ ؟,Customer Service
يوجد وظائف كول سنتر لطلاب,Customer Service
بالنسبه للكارت المدفوع مقدما المفروض اعمله علشان احافظ صلاحيه الخط الشحن باستخدام كروت شحن لازم اد عادي تحويل رصيد واجراء المكالمات الرسايل اد علشان احافظ صلاحيه خطي وشكرا,Customer Service
ياخد موزع معتمد فرع الاوراق المطلوبه واتحرك ؟ ؟,Customer Service
معاد معين للحضور بيكون مقر معين فرع مشكله,Customer Service
اشتريت شريحه بالبطاقه وشحنت اتكلم بيقولي يجب نفعيل الشريحه ! افعل الشريحه ؟ ؟,Customer Service
مشكله الخط بتاعي مبيطلبش كود بيبدابالنجمه شباك,Customer Service
حضرتك الخط بتاعي واقع مني ازي البيانات ازي,Customer Service
تنزل اسعار الموبايلات سامسونج وهواوي كلها ومين الاحلي فيهم ياريت بسرعه,Customer Service
غندي خط فلاشه نت بقالي سنتين مشغلتهوش,Customer Service
يا جماعه احترامي ليكم انتو بتقولو رجع خطك القديم ماستخدمتوش شهور خط شلته لمده شهر وبعد لما اشغله قالي يتم تسجيل البطاقه,Customer Service
الفروع القريبه قاعه المؤتمرات المتوافر المنتج للشراء ؟ ؟,Customer Service
معايا خط ومش عارف اشغله عرض وجاي رساله تنظيم,Customer Service
مشكله الشركه واتمني حد يحلها,Customer Service
رقم خدمه العملاء ضروري جدا جدا جدا جدا,Customer Service
بيانات رقم عطان بيغلس ناس اعرفه فين وعايز اقفله الخط,Customer Service
معايا خط وبقالي شهر مشغلتوش بيديني بالخدمه العمل علشان الخط يرجع تاني ؟ وشكرا,Customer Service
خط وبعدين الخط اتكسر فتره طويله جدا روحت قالي الخط اتوقف والخط دا مرتبط بيه حاجات ياما حل اني ارجعه تاني,Customer Service
سمحتوا خط قديم اشغلو تاني ؟ لما اجي اتصل ( مسجل الشبكه ),Customer Service
محتاجه حد خدمه العملاء متشلش,Customer Service
مشكله شاري خط جديد فمركز خدمه عملاء وكتبت العقد وكل ومشيت وكل ماجي اتصل باي رقم يجيلي رساله صوتيه زور فرع لتفعيل الخط نرجو حل المشكله,Customer Service
حضرتك شحنت كارتين جنيه اتخصموا بدون سبب وكل اكلم خدمه العملاء يقولي شويه ه كلمني بحجه مختلفه,Customer Service
ياجماعه حد يساعدني استخدم هيا خدمه العملاء,Customer Service
ياافندم نركب راوتر خط تليفون كبسوله الشارع ساكن الحل ولكم جزيل الشكر,Customer Service
عملت حساب جديد هنسيت كلمه المرور وطلبتها وجالي البريد الالكتروني وكلمه المرور الجديده وبدخلهم بيقولي خطا كلمه المرور اسم المستخدم الحل ولو امسح الحساب واعمل بدالوا جديد امسحه تسجيل دخول,Customer Service
مواعيد العمل امته فروع ؟ وشكرا,Customer Service
huawei ascend mate gold فرع وبكام واقدر اوصله ؟ ؟,Customer Service
ترجيع الخط,Customer Service
اشتري السامسونج بالقسط شهر كده شهر شهر بيبقي مقدم,Customer Service
الخط اتوقف وعايز اشغله تاني ؟ ؟,Customer Service
اشتريت خط محل ومحتاجه اسجله اسجله ؟,Customer Service
كلمت خدمه العملا ومحدش افادني بحاجه,Customer Service
اسجل الخط باسمي مشتريه فتره طويله والعلبه بتاعته ضاعت ؟ ؟,Customer Service
اكلم حد خدمه العملا الرقم اتصل بيه ؟,Customer Service
محتاجه رد منكم ضروري اكونت بيعمل اعلان وظائف للشركه ؟ ؟ اكونت عامل اعلان وطلب cv وصور للبطاقه وشهاده الميلاد وشهاده التخرج الانترفيو اصلا وقبل,Customer Service
شركه صغيره فرد اعملهم خطوط مسلسله ياريت حد يرد عليا,Customer Service
هوا استقبال المكالمات بيجدد صلاحيه الخط لازم مكالمه اجدد صلاحيه الخط,Customer Service
معايا خط بقاله ومش سجلته ينفع اسجله طريق الموبيل ولالا,Customer Service
حد خدمه العملء,Customer Service
نزلت اشتري خط تاني قالولي الخطوط موقوفه البحر الاحنر فعلا كده,Customer Service
شركه كبيره وتنساني وما اخدش هديتي دا عميل مميز شوفو حل للمشكله,Customer Service
كلمه خدمه العملاء وهما قالو هنحولك للدعم الفني والخط قطع كد حرام انتظار دقيه,Customer Service
الخط بتاعي مكتوب اختي احوله لاسمي ينفع اخد بطاقتها واروح الفرع,Customer Service
الفواتير علشان اوقف الخدمه,Customer Service
كنت اكلم حد الشركه خاص ضروري,Customer Service
حجز الارقام رقم مميز كلاب,Customer Service
حضرتك مشكله الخط وكل اكلم خدمه العملاء يقولي لاحقا ومش عارف,Customer Service
الشريحه خاليه تماما ومش بتقبل اسامي,Customer Service
حضرتك الخط بتاعي قفل خالص وعاوز تحديث بينات وكل خط تاني مطلوب تحديث بينات,Customer Service
مواعيد الفروع تفتح الساعه,Customer Service
السﻻم عليكم محدث بيناتي دقائق ومعنديش فرع اتصاﻻت علشان استكمل البيانات,Customer Service
كارت الشحن اتخدش منه اربع ارقام ؟,Customer Service
الخط بتاعي ضاع كنت خط جديد بنفس الرقم,Customer Service
عناوين فروع موجوده المنصوره اسجل خطي ؟,Customer Service
استبدلت شريحه وكل ماجي اسجل اسم الشريحه يقولي الذاكره ممتلئه الحل وبيجيلي طول دايما خطا تسجيل الشبكه,Customer Service
واكلم ترجعوا الخط للي سرقتوه ؟ !,Customer Service
فرع كفرالشيخ ؟,Customer Service
كنت حاجز رقم الموقع ومش عارف هيجي فرع ؟ ؟,Customer Service
مشكله usbمودم مشغال هل صيانه فرع,Customer Service
مشكله شريحه لما اتصل بيها حد يقفل ويديني مشغول واذا حد اتصل عليا يديلو مشغول برضو واذا اتصلت بخدمه العمله يديني مشغول الموضوع بقالو شهر وقفت حالي خالص,Customer Service
رقم خدمه العملاء النت فاصل والحكايه بتتكر كتير,Customer Service
هل متوفر الفروع عندكم موبايل انفينكس نوت برو اللون الفضي,Customer Service
رقم خدمه عملاء الارضي,Customer Service
حضرتك المقر الرئيسي الاسماعيليه فين بالظبط,Customer Service
اشغل خدمه اضعاف شحنتي ! ! ببعت رساله ل ومش اشتغل,Customer Service
كنت اسئل فروع لحضراتكم متاح شغل للطلبه اذنك,Customer Service
خدمه العملاء رقمها,Customer Service
ارجع الشريحه بتاعتي والرسوم استرجاع الشريحه,Customer Service
اعﻻن وظائف اتصاﻻت صح وﻻﻻ وفرع اسوان,Customer Service
السلام عليكم خدمه عملاء,Customer Service
الدعم الفني انترنت,Customer Service
سعر huawei y واقرب فرع اجيب منه,Customer Service
مشكله اشتريت خط اتصﻻت واريد اسجله باسمي واتصلت بخدمه العمﻻء لي اذهبي مركز خدمه العملاء وذهبت لي ﻻ يقدر ﻷنه مسجل شخص ثاني ماذا افعل,Customer Service
اشتريت خط خارج مصر وبقالي شهور يستعمل واعتقد اتقفل ارجعه تاني العلم ارقام مهمه ورصيد كبير الاجراءات واذاي اتصل بخدمه العملاء خط تاني للتواصل معهم,Customer Service
المكان انتر فيوه اشتغل خدمه عملاء,Customer Service
بعت رساله الابلكيشن بتاعكم فتره ومحدش عبرني اسميه سوء خدمه عملاء اسميه اهتمام اسميه ابقي عارف واتكلمت امبارح قالوا حد هيرد عليك ومحدش عبرنا ! !,Customer Service
السلام عليكمهوا احول خطي بنفس الرقم شبكه تانيه لاتصالات لازم اروح الفرع طريقه تانيه وشكرا,Customer Service
اتخصم مني جنيه بلغي الباقه وبعمل واحده تانيه فنفس وكلمت خدمه العملاء قالولي اتخصمت,Customer Service
موبايلي اتسرق وعاوزه ارجع الخط والمشكله الفرع بتاعكم بعيد البيت الحل,Customer Service
رقم خدمه العملاء لان الشريحه اغلاقها دائم لان ابني الصغير ادخل رقم PUK مرات خطا وعندما حاولت ادخل الرقم الخط الرساله الشريحه اغلاقها دائم الحل وشكرا,Customer Service
فضلك خطي واقف واتصلت بخدمه العملاء وعملولي استبدال شريحه واتسجلت البيانات باسمي هل اسجل الخط زوجتي تسجيله باسمي العلم اني مجبتش الشريحه وشكرا,Customer Service
سعر مكالمه خدمه عملاء تانك ؟,Customer Service
الخير رقم خدمه العملاء,Customer Service
اسكندريه ونزلت امبارح اغلي فرعكوا لقيتو قفلين اقدم روتر فرع فاتح انهارده,Customer Service
مانا هروح للفرع واثبتلهم الخط بتاعي,Customer Service
للتقديم ستور Etisalat Misr طريق ؟ ؟,Customer Service
فضلك فرع للاتصالات سكنه شارع جمال عبد الناصر الحرفين مدينه السلام,Customer Service
اشتغل فرع بدرس,Customer Service
جبت راوتر والخدمه اشتغلت مارس والمفروض ادفع جنيه لان جايب خط ميجا عرض شهور روحت امبارح دفعت كلمت خدمه العملاء ويقولو هنحولك قسم الفواتير ويقفلو الخط ومحدس معرفني ادفع بالضبط وليه وهيه ؟,Customer Service
اقدم شغل خدمه العملاء,Customer Service
هل I phone plus فروع ؟ وبكام ؟ ؟,Customer Service
اسال ومتقوليش زور الموقع اققرب فرع تعبت الزيارات عملت عندكوا احول بنفس الرقم واخدت شريحه وقالي هيشتغل عدي ولسه متحولش يبقي,Customer Service
خطي اتوقف وعايز ارجعه ولما اجي اتصل بخدمه العملاء بيجيبلي طواريء,Customer Service
احلي شبكه وافضل خدمه عملاء شكرا لكل العاملين مجهود رائع,Customer Service
حضرتك ينفع دبلوم سياحه وفنادق يشتغل انجليزي بسيط واعفاء الجيش,Customer Service
الموبايل بتاعي اتسرق وعاوز اوقفو خالص مهما رد,Customer Service
مواعيد العمل داخل فروع خدمه العملاء بحيث ادفع الفاتوره,Customer Service
